"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","168","test_search_value_types","tests","Fri Apr 24 23:20:13 UTC 2026","passed","Fri Apr 24 23:20:13 UTC 2026","","test_search_schema","",""
"","478","test_search_multiple_queries","tests","Fri Apr 24 23:20:12 UTC 2026","passed","Fri Apr 24 23:20:12 UTC 2026","","test_search_positive","",""
"","175","test_search_with_page_limit","tests","Fri Apr 24 23:20:11 UTC 2026","passed","Fri Apr 24 23:20:12 UTC 2026","","test_search_edge_cases","",""
"","473","test_search_repeatability","tests","Fri Apr 24 23:20:11 UTC 2026","passed","Fri Apr 24 23:20:11 UTC 2026","","test_search_edge_cases","",""
"","329","test_search_with_valid_query","tests","Fri Apr 24 23:20:10 UTC 2026","passed","Fri Apr 24 23:20:11 UTC 2026","","test_search_basic","",""
"","32","test_search_invalid_index","tests","Fri Apr 24 23:20:12 UTC 2026","passed","Fri Apr 24 23:20:12 UTC 2026","","test_search_negative","",""
"","147","test_search_response_schema","tests","Fri Apr 24 23:20:12 UTC 2026","passed","Fri Apr 24 23:20:13 UTC 2026","","test_search_schema","",""
"","34","test_search_invalid_option","tests","Fri Apr 24 23:20:12 UTC 2026","passed","Fri Apr 24 23:20:12 UTC 2026","","test_search_negative","",""
"","38","test_search_empty_query","tests","Fri Apr 24 23:20:12 UTC 2026","passed","Fri Apr 24 23:20:12 UTC 2026","","test_search_negative","",""
"","165","test_search_valid_query_returns_results","tests","Fri Apr 24 23:20:12 UTC 2026","passed","Fri Apr 24 23:20:12 UTC 2026","","test_search_positive","",""
"","214","test_search_no_results","tests","Fri Apr 24 23:20:11 UTC 2026","passed","Fri Apr 24 23:20:11 UTC 2026","","test_search_edge_cases","",""
