"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","206","test_search_response_schema","tests","Fri Apr 24 13:58:58 UTC 2026","passed","Fri Apr 24 13:58:58 UTC 2026","","test_search_schema","",""
"","101","test_search_invalid_index","tests","Fri Apr 24 13:58:56 UTC 2026","passed","Fri Apr 24 13:58:56 UTC 2026","","test_search_negative","",""
"","479","test_search_with_valid_query","tests","Fri Apr 24 13:58:54 UTC 2026","passed","Fri Apr 24 13:58:55 UTC 2026","","test_search_basic","",""
"","103","test_search_invalid_option","tests","Fri Apr 24 13:58:56 UTC 2026","passed","Fri Apr 24 13:58:57 UTC 2026","","test_search_negative","",""
"","959","test_search_repeatability","tests","Fri Apr 24 13:58:55 UTC 2026","passed","Fri Apr 24 13:58:56 UTC 2026","","test_search_edge_cases","",""
"","223","test_search_no_results","tests","Fri Apr 24 13:58:55 UTC 2026","passed","Fri Apr 24 13:58:55 UTC 2026","","test_search_edge_cases","",""
"","921","test_search_valid_query_returns_results","tests","Fri Apr 24 13:58:57 UTC 2026","passed","Fri Apr 24 13:58:57 UTC 2026","","test_search_positive","",""
"","215","test_search_with_page_limit","tests","Fri Apr 24 13:58:56 UTC 2026","passed","Fri Apr 24 13:58:56 UTC 2026","","test_search_edge_cases","",""
"","101","test_search_empty_query","tests","Fri Apr 24 13:58:56 UTC 2026","passed","Fri Apr 24 13:58:56 UTC 2026","","test_search_negative","",""
"","723","test_search_multiple_queries","tests","Fri Apr 24 13:58:57 UTC 2026","passed","Fri Apr 24 13:58:58 UTC 2026","","test_search_positive","",""
"","212","test_search_value_types","tests","Fri Apr 24 13:58:58 UTC 2026","passed","Fri Apr 24 13:58:59 UTC 2026","","test_search_schema","",""
