"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","213","test_search_value_types","tests","Fri Apr 24 13:50:46 UTC 2026","passed","Fri Apr 24 13:50:46 UTC 2026","","test_search_schema","",""
"","96","test_search_invalid_index","tests","Fri Apr 24 13:50:44 UTC 2026","passed","Fri Apr 24 13:50:44 UTC 2026","","test_search_negative","",""
"","99","test_search_invalid_option","tests","Fri Apr 24 13:50:44 UTC 2026","passed","Fri Apr 24 13:50:44 UTC 2026","","test_search_negative","",""
"","130","test_search_empty_query","tests","Fri Apr 24 13:50:44 UTC 2026","passed","Fri Apr 24 13:50:44 UTC 2026","","test_search_negative","",""
"","214","test_search_no_results","tests","Fri Apr 24 13:50:43 UTC 2026","passed","Fri Apr 24 13:50:43 UTC 2026","","test_search_edge_cases","",""
"","203","test_search_valid_query_returns_results","tests","Fri Apr 24 13:50:44 UTC 2026","passed","Fri Apr 24 13:50:45 UTC 2026","","test_search_positive","",""
"","685","test_search_multiple_queries","tests","Fri Apr 24 13:50:45 UTC 2026","passed","Fri Apr 24 13:50:45 UTC 2026","","test_search_positive","",""
"","217","test_search_response_schema","tests","Fri Apr 24 13:50:45 UTC 2026","passed","Fri Apr 24 13:50:46 UTC 2026","","test_search_schema","",""
"","678","test_search_repeatability","tests","Fri Apr 24 13:50:43 UTC 2026","passed","Fri Apr 24 13:50:44 UTC 2026","","test_search_edge_cases","",""
"","228","test_search_with_page_limit","tests","Fri Apr 24 13:50:44 UTC 2026","passed","Fri Apr 24 13:50:44 UTC 2026","","test_search_edge_cases","",""
"","743","test_search_with_valid_query","tests","Fri Apr 24 13:50:42 UTC 2026","passed","Fri Apr 24 13:50:43 UTC 2026","","test_search_basic","",""
