"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","test_search_empty_query","tests","Fri Apr 24 14:12:48 UTC 2026","passed","Fri Apr 24 14:12:48 UTC 2026","","test_search_negative","",""
"","521","test_search_with_valid_query","tests","Fri Apr 24 14:12:43 UTC 2026","passed","Fri Apr 24 14:12:43 UTC 2026","","test_search_basic","",""
"","2538","test_search_no_results","tests","Fri Apr 24 14:12:43 UTC 2026","passed","Fri Apr 24 14:12:46 UTC 2026","","test_search_edge_cases","",""
"","953","test_search_repeatability","tests","Fri Apr 24 14:12:46 UTC 2026","passed","Fri Apr 24 14:12:47 UTC 2026","","test_search_edge_cases","",""
"","975","test_search_multiple_queries","tests","Fri Apr 24 14:12:48 UTC 2026","passed","Fri Apr 24 14:12:49 UTC 2026","","test_search_positive","",""
"","249","test_search_valid_query_returns_results","tests","Fri Apr 24 14:12:48 UTC 2026","passed","Fri Apr 24 14:12:48 UTC 2026","","test_search_positive","",""
"","724","test_search_invalid_index","tests","Fri Apr 24 14:12:47 UTC 2026","passed","Fri Apr 24 14:12:48 UTC 2026","","test_search_negative","",""
"","304","test_search_with_page_limit","tests","Fri Apr 24 14:12:47 UTC 2026","passed","Fri Apr 24 14:12:47 UTC 2026","","test_search_edge_cases","",""
"","50","test_search_invalid_option","tests","Fri Apr 24 14:12:48 UTC 2026","passed","Fri Apr 24 14:12:48 UTC 2026","","test_search_negative","",""
"","226","test_search_response_schema","tests","Fri Apr 24 14:12:49 UTC 2026","passed","Fri Apr 24 14:12:50 UTC 2026","","test_search_schema","",""
"","311","test_search_value_types","tests","Fri Apr 24 14:12:50 UTC 2026","passed","Fri Apr 24 14:12:50 UTC 2026","","test_search_schema","",""
