"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","193","test_search_response_schema","tests","Fri Apr 24 14:24:47 UTC 2026","passed","Fri Apr 24 14:24:48 UTC 2026","","test_search_schema","",""
"","216","test_search_with_page_limit","tests","Fri Apr 24 14:24:46 UTC 2026","passed","Fri Apr 24 14:24:46 UTC 2026","","test_search_edge_cases","",""
"","216","test_search_valid_query_returns_results","tests","Fri Apr 24 14:24:47 UTC 2026","passed","Fri Apr 24 14:24:47 UTC 2026","","test_search_positive","",""
"","96","test_search_invalid_index","tests","Fri Apr 24 14:24:46 UTC 2026","passed","Fri Apr 24 14:24:46 UTC 2026","","test_search_negative","",""
"","589","test_search_repeatability","tests","Fri Apr 24 14:24:46 UTC 2026","passed","Fri Apr 24 14:24:46 UTC 2026","","test_search_edge_cases","",""
"","197","test_search_value_types","tests","Fri Apr 24 14:24:48 UTC 2026","passed","Fri Apr 24 14:24:48 UTC 2026","","test_search_schema","",""
"","597","test_search_multiple_queries","tests","Fri Apr 24 14:24:47 UTC 2026","passed","Fri Apr 24 14:24:47 UTC 2026","","test_search_positive","",""
"","76","test_search_invalid_option","tests","Fri Apr 24 14:24:46 UTC 2026","passed","Fri Apr 24 14:24:47 UTC 2026","","test_search_negative","",""
"","78","test_search_empty_query","tests","Fri Apr 24 14:24:46 UTC 2026","passed","Fri Apr 24 14:24:46 UTC 2026","","test_search_negative","",""
"","200","test_search_no_results","tests","Fri Apr 24 14:24:45 UTC 2026","passed","Fri Apr 24 14:24:46 UTC 2026","","test_search_edge_cases","",""
"","515","test_search_with_valid_query","tests","Fri Apr 24 14:24:45 UTC 2026","passed","Fri Apr 24 14:24:45 UTC 2026","","test_search_basic","",""
