"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","test_search_invalid_option","tests","Fri Apr 24 14:10:18 UTC 2026","passed","Fri Apr 24 14:10:18 UTC 2026","","test_search_negative","",""
"","243","test_search_with_valid_query","tests","Fri Apr 24 14:10:16 UTC 2026","passed","Fri Apr 24 14:10:17 UTC 2026","","test_search_basic","",""
"","188","test_search_no_results","tests","Fri Apr 24 14:10:17 UTC 2026","passed","Fri Apr 24 14:10:17 UTC 2026","","test_search_edge_cases","",""
"","141","test_search_with_page_limit","tests","Fri Apr 24 14:10:17 UTC 2026","passed","Fri Apr 24 14:10:17 UTC 2026","","test_search_edge_cases","",""
"","141","test_search_response_schema","tests","Fri Apr 24 14:10:18 UTC 2026","passed","Fri Apr 24 14:10:18 UTC 2026","","test_search_schema","",""
"","481","test_search_repeatability","tests","Fri Apr 24 14:10:17 UTC 2026","passed","Fri Apr 24 14:10:17 UTC 2026","","test_search_edge_cases","",""
"","34","test_search_invalid_index","tests","Fri Apr 24 14:10:17 UTC 2026","passed","Fri Apr 24 14:10:18 UTC 2026","","test_search_negative","",""
"","220","test_search_valid_query_returns_results","tests","Fri Apr 24 14:10:18 UTC 2026","passed","Fri Apr 24 14:10:18 UTC 2026","","test_search_positive","",""
"","501","test_search_multiple_queries","tests","Fri Apr 24 14:10:18 UTC 2026","passed","Fri Apr 24 14:10:18 UTC 2026","","test_search_positive","",""
"","45","test_search_empty_query","tests","Fri Apr 24 14:10:18 UTC 2026","passed","Fri Apr 24 14:10:18 UTC 2026","","test_search_negative","",""
"","142","test_search_value_types","tests","Fri Apr 24 14:10:18 UTC 2026","passed","Fri Apr 24 14:10:19 UTC 2026","","test_search_schema","",""
