"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","test_search_response_schema","tests","Fri Apr 24 23:04:57 UTC 2026","passed","Fri Apr 24 23:04:58 UTC 2026","","test_search_schema","",""
"","661","test_search_repeatability","tests","Fri Apr 24 23:04:55 UTC 2026","passed","Fri Apr 24 23:04:56 UTC 2026","","test_search_edge_cases","",""
"","315","test_search_with_page_limit","tests","Fri Apr 24 23:04:56 UTC 2026","passed","Fri Apr 24 23:04:56 UTC 2026","","test_search_edge_cases","",""
"","225","test_search_valid_query_returns_results","tests","Fri Apr 24 23:04:57 UTC 2026","passed","Fri Apr 24 23:04:57 UTC 2026","","test_search_positive","",""
"","567","test_search_with_valid_query","tests","Fri Apr 24 23:04:54 UTC 2026","passed","Fri Apr 24 23:04:55 UTC 2026","","test_search_basic","",""
"","696","test_search_multiple_queries","tests","Fri Apr 24 23:04:57 UTC 2026","passed","Fri Apr 24 23:04:57 UTC 2026","","test_search_positive","",""
"","227","test_search_value_types","tests","Fri Apr 24 23:04:58 UTC 2026","passed","Fri Apr 24 23:04:58 UTC 2026","","test_search_schema","",""
"","101","test_search_empty_query","tests","Fri Apr 24 23:04:56 UTC 2026","passed","Fri Apr 24 23:04:56 UTC 2026","","test_search_negative","",""
"","119","test_search_invalid_index","tests","Fri Apr 24 23:04:56 UTC 2026","passed","Fri Apr 24 23:04:56 UTC 2026","","test_search_negative","",""
"","226","test_search_no_results","tests","Fri Apr 24 23:04:55 UTC 2026","passed","Fri Apr 24 23:04:55 UTC 2026","","test_search_edge_cases","",""
"","102","test_search_invalid_option","tests","Fri Apr 24 23:04:56 UTC 2026","passed","Fri Apr 24 23:04:57 UTC 2026","","test_search_negative","",""
