"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79","test_search_invalid_option","tests","Fri Apr 24 13:57:55 UTC 2026","passed","Fri Apr 24 13:57:55 UTC 2026","","test_search_negative","",""
"","585","test_search_repeatability","tests","Fri Apr 24 13:57:54 UTC 2026","passed","Fri Apr 24 13:57:55 UTC 2026","","test_search_edge_cases","",""
"","571","test_search_multiple_queries","tests","Fri Apr 24 13:57:55 UTC 2026","passed","Fri Apr 24 13:57:56 UTC 2026","","test_search_positive","",""
"","76","test_search_empty_query","tests","Fri Apr 24 13:57:55 UTC 2026","passed","Fri Apr 24 13:57:55 UTC 2026","","test_search_negative","",""
"","193","test_search_with_page_limit","tests","Fri Apr 24 13:57:55 UTC 2026","passed","Fri Apr 24 13:57:55 UTC 2026","","test_search_edge_cases","",""
"","77","test_search_invalid_index","tests","Fri Apr 24 13:57:55 UTC 2026","passed","Fri Apr 24 13:57:55 UTC 2026","","test_search_negative","",""
"","264","test_search_no_results","tests","Fri Apr 24 13:57:54 UTC 2026","passed","Fri Apr 24 13:57:54 UTC 2026","","test_search_edge_cases","",""
"","185","test_search_response_schema","tests","Fri Apr 24 13:57:56 UTC 2026","passed","Fri Apr 24 13:57:56 UTC 2026","","test_search_schema","",""
"","195","test_search_value_types","tests","Fri Apr 24 13:57:56 UTC 2026","passed","Fri Apr 24 13:57:56 UTC 2026","","test_search_schema","",""
"","195","test_search_valid_query_returns_results","tests","Fri Apr 24 13:57:55 UTC 2026","passed","Fri Apr 24 13:57:55 UTC 2026","","test_search_positive","",""
"","630","test_search_with_valid_query","tests","Fri Apr 24 13:57:53 UTC 2026","passed","Fri Apr 24 13:57:54 UTC 2026","","test_search_basic","",""
